Player,Position,Date,Projected Points,SalaryPerPoint,Salary
Indianapolis Colts,DST,12/07 @ CLE,4.87,677.62,3300.0094
Hakeem Nicks,WR,12/07 @ CLE,4.41,680.27,2999.9907
Allen Hurns,WR,12/07 vs. HOU,5.5,690.91,3800.005
Garrett Graham,TE,12/07 @ JAC,4.29,699.3,2999.997
Alfred Blue,RB,12/07 @ JAC,5.14,700.39,3600.0046
Philadelphia Eagles,DST,12/07 vs. SEA,4.98,702.81,3499.9938
Andre Williams,RB,12/07 @ TEN,6.19,710.82,4399.9758
Bernard Pierce,RB,12/07 @ MIA,4.21,712.59,3000.0039
Brent Celek,TE,12/07 vs. SEA,4.05,740.74,2999.997
Branden Oliver,RB,12/07 vs. NEP,3.84,781.25,3000
Tampa Bay Buccaneers,DST,12/07 @ DET,3.16,791.14,2500.0024
Knile Davis,RB,12/07 @ ARI,3.5,857.14,2999.99
Miami Dolphins,DST,12/07 vs. BAL,3.66,901.64,3300.0024
Greg Salas,WR,12/07 @ MIN,2.98,1006.71,2999.9958
Ben Tate,RB,12/07 vs. NYJ,3.22,1086.96,3500.0112
San Diego Chargers,DST,12/07 vs. NEP,2.02,1138.61,2299.9922
Atlanta Falcons,DST,12/08 @ GBP,1.5,1200,1800
Robert Meachem,WR,12/07 vs. CAR,1.94,1546.39,2999.9966
Buffalo Bills,DST,12/07 @ DEN,1.94,1649.48,3199.9912
